enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949,5,0.92,1,0,2,0,5,21,8,6,1,36,1
29725,77,0.776,1,1,2,0,5,15,3,5,5,47,0
11561,64,0.624,1,1,0,0,5,5,8,6,0,83,0
33241,14,0.789,1,1,2,0,1,0,8,5,0,52,1
666,50,0.767,1,0,2,2,5,21,3,1,4,8,0
21651,57,0.764,1,0,1,0,5,11,8,6,1,24,1
28806,49,0.92,1,0,2,1,5,5,3,1,1,24,0
402,83,0.762,1,0,2,0,5,13,6,5,5,18,1
27107,5,0.92,1,0,2,0,5,7,3,5,1,46,1
699,5,0.92,1,0,2,0,5,17,2,5,5,123,0
29452,64,0.624,1,1,0,1,5,2,8,6,0,32,1
23853,5,0.92,1,0,2,0,5,5,5,5,1,108,0
25619,91,0.913,1,0,2,0,5,21,1,5,3,23,0
5826,64,0.624,1,1,2,0,5,2,8,6,0,24,0
8722,64,0.624,1,1,0,1,5,5,8,6,0,26,0
6588,13,0.926,1,0,2,0,5,16,7,5,5,18,0
4167,5,0.92,1,0,2,0,5,1,3,5,0,106,0
5764,64,0.624,1,0,2,0,5,2,5,5,2,7,0
2156,64,0.624,1,0,2,0,5,7,2,5,0,23,1
11399,26,0.827,0,0,2,0,0,4,8,6,1,132,1
31972,47,0.843,1,0,2,2,5,11,0,5,1,68,0
19061,13,0.926,1,0,2,2,5,11,0,5,2,50,0
6491,4,0.804,1,0,2,2,5,10,8,6,1,48,0
7041,77,0.776,1,0,2,0,2,0,1,5,1,65,0
22767,64,0.624,1,0,2,0,5,5,1,5,1,13,0
14505,95,0.855,1,1,2,1,5,4,8,6,0,22,0
17139,64,0.624,1,0,1,0,5,14,4,5,1,148,1
28476,5,0.92,1,0,2,0,0,5,8,6,2,72,0
21538,2,0.887,1,0,2,1,5,11,6,5,1,8,1
10408,64,0.624,1,0,2,0,5,18,3,1,2,68,1
14928,5,0.92,1,0,2,0,5,21,0,5,3,40,0
22293,5,0.92,1,0,1,0,5,19,5,5,5,141,0
4324,5,0.92,0,1,0,0,5,5,8,6,1,24,0
26966,49,0.92,0,0,2,0,5,21,0,5,5,82,0
26494,48,0.91,1,0,2,0,1,12,5,5,3,145,0
4866,5,0.92,1,0,2,0,5,10,7,0,2,206,0
12726,13,0.926,1,1,1,1,5,1,2,3,1,152,0
10164,13,0.926,1,0,2,3,5,21,0,5,4,42,1
8612,5,0.92,1,1,2,0,5,12,8,6,4,50,0
24659,99,0.884,1,1,2,0,5,3,8,6,0,106,0
2547,13,0.926,0,0,0,2,5,16,1,4,2,14,0
13854,6,0.924,1,0,2,1,5,4,7,5,2,36,0
31654,64,0.624,1,0,2,2,5,6,3,0,1,112,1
13643,93,0.666,1,1,2,0,3,9,3,5,0,108,0
5590,64,0.624,1,0,1,2,5,9,5,5,3,7,1
22452,64,0.624,0,1,0,2,5,5,8,6,0,26,1
9006,64,0.624,1,0,2,0,5,5,0,5,0,87,1
25987,5,0.92,2,0,2,0,5,19,2,4,4,52,1
4476,3,0.558,1,0,2,0,3,15,8,6,5,20,1
25103,112,0.923,1,0,2,0,5,11,7,5,1,21,0
5568,3,0.558,1,1,2,0,5,4,8,6,1,92,1
2195,93,0.666,1,0,2,0,5,10,0,5,2,102,0
30533,7,0.794,1,1,2,0,2,5,2,5,5,26,0
28512,6,0.924,1,0,2,2,5,3,6,0,2,7,0
1023,13,0.926,1,1,0,1,5,4,2,5,1,43,0
12253,6,0.924,1,0,2,0,5,21,0,5,1,45,0
25296,101,0.754,1,0,0,0,5,2,3,0,2,52,0
13238,5,0.92,1,0,2,0,5,21,8,6,2,19,0
13478,64,0.624,1,0,0,0,5,2,7,1,1,32,1
18578,50,0.767,1,0,2,0,2,21,0,5,5,26,1
29975,95,0.855,1,0,1,0,5,6,8,6,1,90,0
26516,103,0.939,1,0,2,0,5,6,0,5,3,25,0
24690,78,0.827,1,0,2,2,5,13,6,6,1,15,0
8433,2,0.887,1,0,2,2,2,21,0,5,5,48,0
9572,11,0.55,1,1,0,1,5,3,8,6,1,98,0
5878,118,0.865,1,0,2,0,5,10,3,5,2,142,1
25695,95,0.855,2,1,2,2,2,4,2,5,4,13,0
9645,48,0.91,1,0,2,0,5,15,8,6,5,47,0
12730,48,0.91,0,0,2,2,2,14,4,4,1,28,0
4830,116,0.698,1,1,2,0,5,2,8,5,0,228,1
20970,93,0.666,1,0,2,0,5,21,8,6,4,22,0
17271,64,0.624,1,1,0,0,5,0,8,6,0,18,1
12731,26,0.827,1,0,2,0,5,2,7,5,1,29,0
10908,95,0.855,1,0,2,2,5,5,0,6,1,46,0
29117,11,0.55,1,1,0,0,5,0,8,6,0,12,0
3686,5,0.92,1,0,2,0,5,5,0,5,2,17,0
22683,74,0.893,1,0,2,2,5,5,3,5,2,65,0
22134,5,0.92,1,1,2,0,2,3,0,5,1,35,0
31765,95,0.855,1,1,0,0,5,9,2,5,3,14,0
31449,5,0.92,0,0,2,2,5,2,6,0,1,4,0
5987,5,0.92,1,0,2,0,5,15,3,5,5,12,0
21762,49,0.92,1,0,2,0,5,21,3,5,2,108,0
22070,5,0.92,1,1,2,0,5,21,8,6,1,136,0
25413,5,0.92,1,0,2,0,5,5,7,6,1,27,0
5902,63,0.796,1,0,1,2,5,4,3,1,1,74,0
28403,99,0.884,1,0,2,0,5,15,7,0,1,86,0
30937,89,0.866,0,1,1,0,5,0,7,5,2,83,0
28751,5,0.92,1,1,0,1,5,4,8,6,3,75,0
29290,43,0.698,1,1,0,2,5,11,8,4,2,42,0
32401,5,0.92,0,0,2,0,5,6,0,6,1,332,0
19128,91,0.913,1,1,0,0,5,4,8,6,1,140,0
29036,48,0.91,1,1,2,1,5,3,8,6,0,182,0
16869,5,0.92,0,1,2,0,2,3,0,5,1,13,1
10497,61,0.682,1,0,2,0,5,5,7,5,2,172,1
18099,5,0.92,1,0,2,0,5,10,0,2,1,48,0
12081,94,0.802,1,0,0,0,5,9,3,5,1,33,0
7364,49,0.92,1,1,0,1,5,2,0,5,1,142,0
11184,102,0.579,1,1,0,0,5,2,0,5,1,34,0
7016,94,0.802,1,0,2,0,5,6,3,5,2,14,1
8695,11,0.55,1,0,2,0,5,6,7,5,2,27,1
6172,11,0.55,1,0,2,0,5,8,0,5,1,24,1
14672,55,0.878,1,1,2,2,5,21,8,6,1,150,0
18257,5,0.92,0,0,2,0,5,11,4,2,5,20,0
24493,5,0.92,1,0,2,0,5,5,4,6,1,140,0
1180,48,0.91,1,0,2,0,5,12,5,5,1,52,0
28627,103,0.939,1,0,2,0,5,21,3,5,2,160,0
8168,30,0.897,1,0,2,2,5,9,5,5,2,3,0
10473,64,0.624,1,0,2,0,5,2,6,5,2,2,1
25349,48,0.91,1,0,2,0,5,21,1,5,5,28,0
5220,101,0.754,1,0,2,0,4,21,8,6,4,46,0
4789,95,0.855,1,0,2,0,5,8,3,5,1,210,0
11338,13,0.926,1,0,2,0,5,10,6,5,1,36,0
27963,121,0.949,1,1,0,0,5,4,8,6,1,160,1
8571,64,0.624,1,0,0,0,5,2,7,2,2,101,0
16303,13,0.926,1,0,2,2,5,6,3,6,1,46,0
20576,120,0.925,1,0,2,0,5,21,1,5,5,19,0
32966,64,0.624,1,0,2,0,5,3,0,5,2,26,1
21199,116,0.698,1,0,0,0,5,7,6,2,1,90,0
18819,85,0.896,1,0,2,0,5,9,6,5,4,59,0
14199,49,0.92,1,0,1,0,1,10,3,1,1,260,0
7666,64,0.624,0,0,2,0,5,11,3,5,5,74,0
13915,48,0.91,1,0,2,3,5,21,0,5,2,20,1
10555,55,0.878,1,0,2,0,5,12,0,5,2,8,0
16040,5,0.92,1,0,2,0,5,6,0,5,1,131,0
32826,31,0.836,1,0,0,2,5,7,8,6,1,45,0
13253,111,0.693,1,0,0,0,5,11,7,5,2,109,0
15637,95,0.855,1,0,2,0,2,3,0,5,1,70,0
28074,5,0.92,0,0,2,0,5,21,0,2,5,17,0
23012,5,0.92,0,1,2,2,5,15,3,5,1,51,0
16110,5,0.92,0,0,2,0,5,6,3,5,3,60,1
3921,74,0.893,1,1,2,3,5,21,1,4,5,4,0
24530,13,0.926,1,1,2,0,5,12,0,5,5,7,0
1924,4,0.804,1,0,2,2,5,21,0,5,3,164,0
32776,93,0.666,1,0,2,0,5,20,8,6,4,290,0
1907,4,0.804,1,1,2,1,5,2,6,2,0,145,0
23947,5,0.92,1,1,2,3,5,21,8,6,1,70,0
3116,64,0.624,1,1,2,0,5,3,8,6,1,24,0
24829,5,0.92,1,1,2,2,2,3,2,5,1,133,1
30488,11,0.55,1,1,0,0,5,2,8,6,1,20,0
1265,5,0.92,1,0,2,0,5,10,6,1,1,76,0
22098,116,0.698,0,1,0,2,5,5,8,6,4,21,1
13342,64,0.624,0,0,2,0,4,8,5,5,2,34,0
24608,49,0.92,1,1,2,0,5,9,6,5,2,15,0
20081,89,0.866,1,1,2,0,5,21,8,6,5,156,0
24796,5,0.92,1,0,2,0,5,21,5,5,5,15,0
7777,13,0.926,1,0,2,2,5,21,8,6,0,120,0
22718,45,0.769,1,0,2,0,3,14,2,6,5,47,0
1261,101,0.754,1,0,2,0,5,12,8,6,2,100,1
3396,95,0.855,1,0,1,0,5,6,4,5,0,102,0
